"","gene.symbol","cell.type","gene.weight","ensembl.id"
"1","ADAM7","NK",19.0673209173689,"ENSG00000069206"
"2","ADAMTS1","NK",11.0595833650437,"ENSG00000154734"
"3","ADGRG3","NK",7.06875485033999,"ENSG00000182885"
"4","ATP9A","NK",7.78576326745351,"ENSG00000054793"
"5","B3GNT7","NK",7.15848478861286,"ENSG00000156966"
"6","BNC2","NK",24.2542608988844,"ENSG00000173068"
"7","C10orf62","NK",8.91877750674857,"ENSG00000203942"
"8","C1orf21","NK",6.89802773378297,"ENSG00000116667"
"9","C1QTNF3","NK",12.2452404741705,"ENSG00000082196"
"10","CAPN15","NK",10.9552309131445,"ENSG00000103326"
"11","CCL5","NK",7.31354319703036,"ENSG00000271503"
"12","CD160","NK",8.19567643616481,"ENSG00000117281"
"13","CLEC1B","NK",8.04875427502123,"ENSG00000165682"
"14","CORT","NK",7.38484790824039,"ENSG00000241563"
"15","CST11","NK",6.73167610356222,"ENSG00000125831"
"16","CST7","NK",8.6248030869811,"ENSG00000077984"
"17","CYSLTR2","NK",11.9589454494387,"ENSG00000152207"
"18","DGKK","NK",6.10999065998373,"ENSG00000274588"
"19","DLG5","NK",6.93261229880429,"ENSG00000151208"
"20","DPRXP4","NK",9.36633076215356,"ENSG00000264743"
"21","DTHD1","NK",10.1979548289885,"ENSG00000197057"
"22","FAT4","NK",22.4253272125626,"ENSG00000196159"
"23","FBXW4P1","NK",8.48163308218062,"ENSG00000230701"
"24","FGFBP2","NK",7.32124605024406,"ENSG00000137441"
"25","GNLY","NK",7.23568803440018,"ENSG00000115523"
"26","GZMB","NK",17.619181181011,"ENSG00000100453"
"27","GZMH","NK",6.23045438428379,"ENSG00000100450"
"28","H3F3C","NK",6.43400119666351,NA
"29","IL18RAP","NK",8.13402945101994,"ENSG00000115607"
"30","KIR2DS4","NK",13.1058134323443,"ENSG00000221957"
"31","KIR3DX1","NK",11.4434968209808,"ENSG00000290933"
"32","KLRB1","NK",8.11344221969047,"ENSG00000111796"
"33","KLRC1","NK",8.29713593611607,"ENSG00000134545"
"34","KLRD1","NK",10.5367114103905,"ENSG00000134539"
"35","KLRF1","NK",14.145210666403,"ENSG00000150045"
"36","KRT71","NK",7.47259200092459,"ENSG00000139648"
"37","KRT74","NK",7.488899186547,"ENSG00000170484"
"38","KRT77","NK",7.53847273196966,"ENSG00000189182"
"39","KRT79","NK",5.96284229922043,"ENSG00000185640"
"40","KRT81","NK",12.3993028719734,"ENSG00000205426"
"41","KRTAP10-9","NK",6.85156001723066,"ENSG00000221837"
"42","L3MBTL4","NK",7.527012772451,"ENSG00000154655"
"43","LDB2","NK",11.9034441948802,"ENSG00000169744"
"44","LEXM","NK",8.27358048558787,NA
"45","LGALS9B","NK",16.2474258856767,"ENSG00000170298"
"46","LILRP2","NK",8.65343870686536,"ENSG00000170858"
"47","LINC00260","NK",8.28587065573254,NA
"48","LINGO2","NK",8.81465294807086,"ENSG00000174482"
"49","LUC7L","NK",12.0806029897819,"ENSG00000007392"
"50","MIR101-2","NK",8.60811317371151,"ENSG00000199065"
"51","MIR1228","NK",8.63421036004059,"ENSG00000221365"
"52","MIR4772","NK",9.0253171154313,"ENSG00000264764"
"53","NCAM1","NK",12.8491149497226,"ENSG00000149294"
"54","NCR1","NK",28.4850611166743,"ENSG00000189430"
"55","NMUR1","NK",22.6252321350519,"ENSG00000171596"
"56","ORM2","NK",6.03448072398702,"ENSG00000228278"
"57","PAPOLB","NK",8.8068795055745,"ENSG00000218823"
"58","PDGFD","NK",10.0948118098037,"ENSG00000170962"
"59","PKDREJ","NK",6.28992025929181,"ENSG00000130943"
"60","PPP2R2B-IT1","NK",6.2531135743434,"ENSG00000249553"
"61","PRF1","NK",9.45406977987974,"ENSG00000180644"
"62","PRSS23","NK",10.0902994779455,"ENSG00000150687"
"63","PSAPL1","NK",12.4650593642287,"ENSG00000178597"
"64","PTGDR","NK",8.71598375175548,"ENSG00000168229"
"65","PTPRA","NK",14.70553065806,"ENSG00000132670"
"66","S1PR5","NK",11.2643608319961,"ENSG00000180739"
"67","SALL4","NK",9.63011847126923,"ENSG00000101115"
"68","SENP2","NK",6.35764835544695,"ENSG00000163904"
"69","SH2D1B","NK",21.5913237354969,"ENSG00000198574"
"70","SLC4A4","NK",8.10515464399892,"ENSG00000080493"
"71","SLC9A9-AS1","NK",21.6772544314819,"ENSG00000240012"
"72","SPATA22","NK",11.4623838559132,"ENSG00000141255"
