"","gene.symbol","cell.type","gene.weight","ensembl.id"
"1","COMMD4","4T",0.0693779218998049,"ENSG00000140365"
"2","ITGAX","4T",0.0419828749329835,"ENSG00000140678"
"3","RAB31","4T",0.0595221789130341,"ENSG00000168461"
"4","INPP5K","4T",0.0709793185052231,"ENSG00000132376"
"5","IL15","4T",0.0602003983525172,"ENSG00000164136"
"6","SIRPA","4T",0.041736472362903,"ENSG00000198053"
"7","HPS1","4T",0.0359574312169712,"ENSG00000107521"
"8","UBTD1","4T",0.0577366967026138,"ENSG00000165886"
"9","PRODH2","4T",0.0591372600897109,"ENSG00000250799"
"10","JUND","4T",0.0766091251314951,"ENSG00000130522"
"11","KRT72","4T",0.0652250907042415,"ENSG00000170486"
"12","AGPAT2","4T",0.0499928949012158,"ENSG00000169692"
"13","SYT17","4T",0.0696045463794231,"ENSG00000103528"
"14","RASGRP4","4T",0.0425333564756826,"ENSG00000171777"
"15","FAM69B","4T",0.0476998490904603,NA
"16","SLC16A4","4T",0.0747304604247817,"ENSG00000168679"
"17","CD1A","4T",0.0119812938471886,"ENSG00000158477"
"18","STK16","4T",0.0676812734130728,"ENSG00000115661"
"19","USE1","4T",0.0751485182232964,"ENSG00000053501"
"20","RPL28","4T",0.0306365113756647,"ENSG00000108107"
"21","TMEM150B","4T",0.0317760112108369,"ENSG00000180061"
"22","RPL31","4T",0.051416167648757,"ENSG00000071082"
"23","HSPBP1","4T",0.00924399291603572,"ENSG00000133265"
"24","DDI1","4T",0.0522242831615036,"ENSG00000170967"
"25","ZNF766","4T",0.050879794552032,"ENSG00000196214"
"26","TNNT1","4T",0.0257628309240664,"ENSG00000105048"
"27","ZNF480","4T",0.0526859352035053,"ENSG00000198464"
"28","U2AF1","4T",0.0452227653335433,"ENSG00000160201"
"29","BNIP1","4T",0.0776668887843369,"ENSG00000113734"
"30","PPP1R3G","4T",0.0471757774274105,"ENSG00000219607"
"31","BRSK1","4T",0.0288071265601992,"ENSG00000160469"
