"","gene.symbol","cell.type","gene.weight","ensembl.id"
"1","HHIPL1","4T",2.97367767327905,"ENSG00000182218"
"2","ANKRD18A","4T",6.29341971853858,"ENSG00000180071"
"3","GLMN","4T",2.99374485098816,"ENSG00000174842"
"4","KCNH6","4T",10.4718207602993,"ENSG00000173826"
"5","MS4A10","4T",2.63910388023299,"ENSG00000172689"
"6","NOTCH1","4T",4.92303517547955,"ENSG00000148400"
"7","ZNF23","4T",13.0090147832072,"ENSG00000167377"
"8","ZDHHC11B","4T",7.0689722943087,"ENSG00000206077"
"9","CCDC86","4T",4.50925834924626,"ENSG00000110104"
"10","SEPT10","4T",3.96157051075674,NA
"11","MRPS31","4T",3.20085178717118,"ENSG00000102738"
"12","ZP1","4T",2.74830880685137,"ENSG00000149506"
"13","NGFR","4T",8.61190145526871,"ENSG00000064300"
"14","NR1H3","4T",4.57286294150302,"ENSG00000025434"
"15","AC010547.9","4T",6.21583507378289,NA
"16","GLB1","4T",3.42316261807832,"ENSG00000170266"
"17","SPINK8","4T",3.61742344952942,"ENSG00000229453"
"18","AMTN","4T",24.7349220096819,"ENSG00000187689"
"19","PTGDR2","4T",4.67521120171805,"ENSG00000183134"
"20","AC092384.1","4T",9.62311395850977,NA
"21","ZNF648","4T",9.93365384299171,"ENSG00000179930"
"22","SKIV2L2","4T",3.29546356985322,NA
"23","MS4A15","4T",2.76575829601491,"ENSG00000166961"
"24","FAAH2","4T",4.46275409770441,"ENSG00000165591"
"25","GDI2","4T",2.7932589525726,"ENSG00000057608"
"26","IL7R","4T",2.63771624566323,"ENSG00000168685"
"27","TNS4","4T",3.70922923499271,"ENSG00000131746"
"28","SLC9A3R1","4T",3.87649013900945,NA
"29","CNOT11","4T",4.0989818000332,"ENSG00000158435"
"30","PATZ1","4T",3.38183157453276,"ENSG00000100105"
"31","EFNB1","4T",4.00685915818771,"ENSG00000090776"
"32","PAPOLA","4T",3.8728956046174,"ENSG00000090060"
"33","GPX6","4T",4.92292462071086,"ENSG00000198704"
"34","C3AR1","4T",4.22349298251843,"ENSG00000171860"
"35","PAFAH2","4T",2.71818494025314,"ENSG00000158006"
"36","AL021546.6","4T",2.99704010314608,NA
"37","TERT","4T",2.73967440463118,"ENSG00000164362"
"38","GATC","4T",2.85866533266151,"ENSG00000257218"
"39","SEC13","4T",2.69262947988719,"ENSG00000157020"
"40","SLC35F5","4T",2.71761684750336,"ENSG00000115084"
"41","SLC17A3","4T",3.19907520741437,"ENSG00000124564"
"42","ATP9A","4T",3.13103350853525,"ENSG00000054793"
"43","CTD-2501B8.1","4T",2.94269614613593,NA
"44","XIAP","4T",3.75630825892725,"ENSG00000101966"
"45","NSD1","4T",4.48565475855843,"ENSG00000165671"
"46","PFN1","4T",4.79904549098493,"ENSG00000108518"
