"","gene.symbol","cell.type","gene.weight","ensembl.id"
"1","CD4","NK",0.0900355847695157,"ENSG00000010610"
"2","CD86","NK",0.0995915092143405,"ENSG00000114013"
"3","FCER2","NK",0.115183022220078,"ENSG00000104921"
"4","LDLRAD4","NK",0.0722484110566225,"ENSG00000168675"
"5","MPEG1","NK",0.0909111308472619,"ENSG00000197629"
"6","NCF2","NK",0.0435051924890133,"ENSG00000116701"
"7","PDE4C","NK",0.114598713550279,"ENSG00000105650"
"8","PLEKHG1","NK",0.113640366614753,"ENSG00000120278"
"9","RBM47","NK",0.0844433798827112,"ENSG00000163694"
"10","SIRPA","NK",0.0600233253070934,"ENSG00000198053"
"11","SIRPB1","NK",0.090510707154,"ENSG00000101307"
"12","SPINT2","NK",0.108510131227823,"ENSG00000167642"
"13","SULF2","NK",0.0923205870771911,"ENSG00000196562"
"15","ZC3H12D","NK",0.0943466814023476,"ENSG00000178199"
"16","MIR1207","NK",0.0956757849403265,"ENSG00000221176"
"17","MACC1","NK",0.119069095108148,"ENSG00000183742"
"18","CHST15","NK",0.0615726399186519,"ENSG00000182022"
"19","NAPSB","NK",0.0837444660059377,"ENSG00000291230"
"20","MAL","NK",0.0751182180593307,"ENSG00000172005"
"21","ADGRE3","NK",0.0613944867611529,"ENSG00000131355"
"22","HLX","NK",0.0788919023838329,"ENSG00000136630"
"23","MARCKS","NK",0.0381061087726132,"ENSG00000277443"
"24","DBH-AS1","NK",0.0878511129712187,"ENSG00000225756"
"25","RHEX","NK",0.102893626378725,"ENSG00000263961"
"26","ALOX5","NK",0.116961719657559,"ENSG00000012779"
"27","SMIM35","NK",0.111925132633778,"ENSG00000255274"
"28","NCF4","NK",0.0767587493931493,"ENSG00000100365"
"29","FPR1","NK",0.10103350984509,"ENSG00000171051"
"30","LRRN3","NK",0.102342855009202,"ENSG00000173114"
"31","KLF4","NK",0.124209862067864,"ENSG00000136826"
"32","PMFBP1","NK",0.037460728788439,"ENSG00000118557"
"33","CLEC7A","NK",0.0375759673158438,"ENSG00000172243"
"34","SPATC1","NK",0.123104213601008,"ENSG00000186583"
"35","SIRPB2","NK",0.0486593200243162,"ENSG00000196209"
"38","TNFAIP2","NK",0.0456527192987431,"ENSG00000185215"
"39","P2RY12","NK",0.114435654338315,"ENSG00000169313"
"40","MIR548C","NK",0.126257218276843,"ENSG00000207546"
"41","FLT1","NK",0.106083711538505,"ENSG00000102755"
"42","MCEMP1","NK",0.105565278675976,"ENSG00000183019"
"44","DLGAP1-AS3","NK",0.120793282468329,"ENSG00000263724"
"45","TREM1","NK",0.058208125653316,"ENSG00000124731"
"46","CXCL8","NK",0.122753822125853,"ENSG00000169429"
"48","TNFSF13","NK",0.104479675408428,"ENSG00000161955"
"49","MIR3945","NK",0.112464107979728,"ENSG00000266698"
"50","SIRPG","NK",0.0940689444847464,"ENSG00000089012"
"51","ARHGAP24","NK",0.104960450224357,"ENSG00000138639"
"52","LAMP5","NK",0.113866706007882,"ENSG00000125869"
"53","SYT17","NK",0.0949024067970849,"ENSG00000103528"
"54","S100A9","NK",0.065348788147434,"ENSG00000163220"
"55","DOK3","NK",0.0954642506019361,"ENSG00000146094"
"56","CLEC4A","NK",0.09225477443581,"ENSG00000111729"
"57","CACHD1","NK",0.115615909344992,"ENSG00000158966"
"58","ST3GAL6","NK",0.0568057858278085,"ENSG00000064225"
"59","ZNF697","NK",0.119421745013372,"ENSG00000143067"
"60","TSHZ2","NK",0.0676293404422302,"ENSG00000182463"
"61","IGSF6","NK",0.0792853763420265,"ENSG00000140749"
"62","NPAS2","NK",0.0768382618863137,"ENSG00000170485"
"63","ALDH2","NK",0.0968113546716642,"ENSG00000111275"
"64","ZNF804A","NK",0.0412750064944569,"ENSG00000170396"
"65","TPRG1","NK",0.0993386503278674,"ENSG00000188001"
"66","TCL1B","NK",0.111588974092924,"ENSG00000213231"
"67","ITIH1","NK",0.094552295153973,"ENSG00000055957"
"68","A2M","NK",0.0960400927874403,"ENSG00000175899"
"69","PID1","NK",0.0719708923115637,"ENSG00000153823"
"70","C5AR1","NK",0.0858832073022083,"ENSG00000197405"
"71","ZNF366","NK",0.126329031839438,"ENSG00000178175"
"72","WFDC21P","NK",0.0878417171834765,"ENSG00000261040"
"73","ETV3L","NK",0.0932557632236726,"ENSG00000253831"
"74","IL1B","NK",0.0320526509844021,"ENSG00000125538"
"75","FCAR","NK",0.0943605848765647,"ENSG00000186431"
"76","TENM4","NK",0.0357274617895564,"ENSG00000149256"
"77","KLHL14","NK",0.0793357352979776,"ENSG00000197705"
"78","SPIB","NK",0.110003570975906,"ENSG00000269404"
"79","CLEC5A","NK",0.0920259942475434,"ENSG00000258227"
"80","FCN1","NK",0.0645561352508439,"ENSG00000085265"
"82","PLA2G7","NK",0.125008683697454,"ENSG00000146070"
"83","WDFY3","NK",0.0797719555937678,"ENSG00000163625"
"84","IL7","NK",0.0675668296146391,"ENSG00000104432"
"85","PDE4B","NK",0.0559501857819418,"ENSG00000184588"
"86","ADAM23","NK",0.126051957913462,"ENSG00000114948"
"87","LINC00926","NK",0.0672601239752764,"ENSG00000247982"
"89","CCSER1","NK",0.123722035360213,"ENSG00000184305"
"90","IFI30","NK",0.0883410250992228,"ENSG00000216490"
"91","MEFV","NK",0.120926400719271,"ENSG00000103313"
"92","SPATA18","NK",0.0806988068850559,"ENSG00000163071"
"93","UGT8","NK",0.048569601518367,"ENSG00000174607"
"94","PEG3","NK",0.0966058297527579,"ENSG00000198300"
"95","NETO1","NK",0.0634456846494474,"ENSG00000166342"
"96","BLK","NK",0.124184987941081,"ENSG00000136573"
"97","MIR663A","NK",0.0742628760658419,"ENSG00000284419"
"98","SLITRK4","NK",0.0453364225446793,"ENSG00000179542"
"99","TNFRSF13B","NK",0.105128501070913,"ENSG00000240505"
"100","ADGRL3","NK",0.0737417783009575,"ENSG00000150471"
"101","ABCD2","Mono",0.0794998236014518,"ENSG00000173208"
"102","ANGPTL6","Mono",0.161083791087649,"ENSG00000130812"
"103","APOBEC3H","Mono",0.129098070744634,"ENSG00000100298"
"104","BCL11B","Mono",0.0988287853158009,"ENSG00000127152"
"105","BICDL1","Mono",0.113372733754635,"ENSG00000135127"
"107","BRDT","Mono",0.137162591925524,"ENSG00000137948"
"108","CAMK4","Mono",0.0881471391807981,"ENSG00000152495"
"109","CCND3","Mono",0.167136656198486,"ENSG00000112576"
"110","CCR7","Mono",0.157707707902136,"ENSG00000126353"
"111","CCSER2","Mono",0.161662500382841,"ENSG00000107771"
"112","CD247","Mono",0.148506134167516,"ENSG00000198821"
"113","CD3D","Mono",0.0960184737224159,"ENSG00000167286"
"114","CD3E","Mono",0.116716729125986,"ENSG00000198851"
"115","CD40LG","Mono",0.111550307158625,"ENSG00000102245"
"116","CD5","Mono",0.136848944559324,"ENSG00000110448"
"117","CD96","Mono",0.0638573435034265,"ENSG00000153283"
"118","CEMIP2","Mono",0.141157894294945,"ENSG00000135048"
"119","CEP85L","Mono",0.166968400951599,"ENSG00000111860"
"120","CRTAM","Mono",0.12523125611615,"ENSG00000109943"
"121","DOCK9","Mono",0.134315983920453,"ENSG00000088387"
"122","DTHD1","Mono",0.111925493969409,"ENSG00000197057"
"123","EDAR","Mono",0.138848545598788,"ENSG00000135960"
"127","FGF9","Mono",0.165134584488607,"ENSG00000102678"
"128","GATA3-AS1","Mono",0.106165603513326,"ENSG00000197308"
"129","GOLGA7B","Mono",0.162168776624206,"ENSG00000155265"
"130","GZMA","Mono",0.137342814996197,"ENSG00000145649"
"131","HAPLN3","Mono",0.144910408724987,"ENSG00000140511"
"132","HOOK1","Mono",0.121673385551168,"ENSG00000134709"
"133","IGSF9B","Mono",0.120478074970243,"ENSG00000080854"
"134","IL2RB","Mono",0.11627832184226,"ENSG00000100385"
"135","IL7R","Mono",0.0920366870762844,"ENSG00000168685"
"136","ISG20","Mono",0.159219975774879,"ENSG00000172183"
"137","ITK","Mono",0.0904989128552042,"ENSG00000113263"
"138","ITM2A","Mono",0.169086091863068,"ENSG00000078596"
"139","JAKMIP1","Mono",0.0937420007842425,"ENSG00000152969"
"140","KIF5C","Mono",0.103595779030597,"ENSG00000168280"
"141","KLF12","Mono",0.111715456508421,"ENSG00000118922"
"142","KRTAP12-3","Mono",0.101565124434463,"ENSG00000205439"
"143","KRTAP12-4","Mono",0.0914035635915275,"ENSG00000212933"
"144","LAX1","Mono",0.107832696291298,"ENSG00000122188"
"145","LCK","Mono",0.155747180565809,"ENSG00000182866"
"146","LEF1","Mono",0.163081024679377,"ENSG00000138795"
"147","LEF1-AS1","Mono",0.133613816607875,"ENSG00000232021"
"148","LINC00426","Mono",0.164988656080035,"ENSG00000238121"
"150","LINC00548","Mono",0.0683218130205725,"ENSG00000215483"
"151","LINC00861","Mono",0.124915156540016,"ENSG00000245164"
"152","LINC01252","Mono",0.139853939880881,"ENSG00000247157"
"153","LINC01550","Mono",0.100119060383882,"ENSG00000246223"
"154","MAL","Mono",0.169088808191741,"ENSG00000172005"
"155","NPAS2","Mono",0.0910359966860919,"ENSG00000170485"
"156","NTRK1","Mono",0.127991660663241,"ENSG00000198400"
"157","PKIA","Mono",0.146182787590609,"ENSG00000171033"
"158","PLCG1","Mono",0.0810832846047098,"ENSG00000124181"
"159","PLCXD2","Mono",0.107466522037646,"ENSG00000240891"
"160","RASGRF2","Mono",0.105781032100195,"ENSG00000113319"
"161","RASGRP1","Mono",0.148176681523392,"ENSG00000172575"
"162","RHOH","Mono",0.0710782710894924,"ENSG00000168421"
"163","SCML4","Mono",0.143814436540915,"ENSG00000146285"
"164","SH2D1A","Mono",0.100558886784419,"ENSG00000183918"
"165","SKAP1","Mono",0.10763736727759,"ENSG00000141293"
"166","SYNE2","Mono",0.099023631388406,"ENSG00000054654"
"167","TC2N","Mono",0.0857524177124779,"ENSG00000165929"
"168","THEMIS","Mono",0.133135485063329,"ENSG00000172673"
"169","TMED10","Mono",0.160369956649712,"ENSG00000170348"
"170","TMEM213","Mono",0.149032736726807,"ENSG00000214128"
"171","TNFRSF25","Mono",0.109121156341924,"ENSG00000215788"
"172","TOP1MT","Mono",0.146171254610359,"ENSG00000184428"
"173","TRAT1","Mono",0.0675539324787194,"ENSG00000163519"
"174","TRIB2","Mono",0.138936448428811,"ENSG00000071575"
"175","TTC9","Mono",0.12414453637732,"ENSG00000133985"
"176","WBP2NL","Mono",0.169358806995839,"ENSG00000183066"
"177","ZBTB32","Mono",0.129641639907706,"ENSG00000011590"
"178","IFNG","Mono",0.149158833457071,"ENSG00000111537"
"179","TSHZ2","Mono",0.132911817664863,"ENSG00000182463"
"180","EDARADD","Mono",0.157569481286275,"ENSG00000186197"
"181","FAM110C","Mono",0.159589882708385,"ENSG00000184731"
"182","HPCAL4","Mono",0.163246950482599,"ENSG00000116983"
"183","KCNJ1","Mono",0.168312800342504,"ENSG00000151704"
"184","GZMK","Mono",0.125184684047364,"ENSG00000113088"
"185","GPR171","Mono",0.168967901213447,"ENSG00000174946"
"186","ZNF483","Mono",0.1686197814361,"ENSG00000173258"
"187","RUNDC3B","Mono",0.16505308431352,"ENSG00000105784"
"188","GREM2","Mono",0.167157227569037,"ENSG00000180875"
"190","RAB43","Mono",0.152480642683359,"ENSG00000172780"
"191","PRR4","Mono",0.137271104707531,"ENSG00000111215"
"192","NAP1L2","Mono",0.122616787638222,"ENSG00000186462"
"193","SLC17A3","Mono",0.165459166431917,"ENSG00000124564"
"194","MIR663A","Mono",0.069239445727992,"ENSG00000284419"
"195","UGT8","Mono",0.0882476314719691,"ENSG00000174607"
"196","XIST","Mono",0.147748424069837,"ENSG00000229807"
"197","RAI2","Mono",0.162882046156922,"ENSG00000131831"
"198","NETO1","Mono",0.16258605984436,"ENSG00000166342"
"199","KLRD1","Mono",0.16228223284223,"ENSG00000134539"
"200","SYT1","Mono",0.147512510115559,"ENSG00000067715"
