"","r","V1","gw"
"1","ABCB4","B_cell","5.92922696978909"
"2","ADGRE2","Monocyte","7.72904858986119"
"3","AIM2","B_cell","5.75025350476168"
"4","ARMCX1","HSC_CD34+","5.0532828609149"
"5","BANK1","B_cell","7.94214202101735"
"6","BCL11B","T_cells","5.56407494966413"
"7","BEX1","HSC_CD34+","5.91413697673491"
"8","BLK","B_cell","7.5488353476411"
"9","BTNL9","B_cell","5.07102039944946"
"10","C3orf80","HSC_CD34+","6.70456269722671"
"11","C5AR1","Monocyte","8.81309357054978"
"12","CD19","B_cell","8.8539639048739"
"13","CD22","B_cell","6.36460964817631"
"14","CD300LF","Monocyte","6.47049135549054"
"15","CD3D","T_cells","6.55945716537108"
"16","CD3E","T_cells","5.45715606095929"
"17","CD3G","T_cells","7.90457004061264"
"18","CD68","Monocyte","5.98346402121058"
"19","CD79A","B_cell","8.58213838831068"
"20","CD8A","T_cells","5.7158262231595"
"21","CD8B","T_cells","7.82848787379541"
"22","CDKN1C","Monocyte","5.75556728192476"
"23","CLIC3","NK_cell","7.11903649014233"
"24","CPNE5","B_cell","6.58099850506103"
"25","CPPED1","Monocyte","5.34429911061008"
"26","CRHBP","HSC_CD34+","6.05046859830809"
"27","CSF1R","Monocyte","6.98442865183102"
"28","CXCL16","Monocyte","6.33026572048297"
"29","DPP4","T_cells","5.14289787378058"
"30","E2F5","B_cell","7.15963086371458"
"31","FASLG","NK_cell","5.61050102075123"
"32","FCRL1","B_cell","8.49200219617578"
"33","FCRL2","B_cell","6.66967648232263"
"34","FCRLA","B_cell","8.89802902862379"
"35","GNAI1","HSC_CD34+","6.33451436882018"
"36","HCK","Monocyte","7.33492318838792"
"37","HK3","Monocyte","5.81426452782022"
"38","HLA-DOB","B_cell","7.26102204148513"
"39","ICOS","T_cells","6.00081964422228"
"40","IL18RAP","NK_cell","5.08086470935457"
"41","INPP4B","T_cells","5.66471836479667"
"42","ITK","T_cells","5.0135014625389"
"43","KIR2DL4","NK_cell","5.71687948709824"
"44","KIR3DL1","NK_cell","6.31561214571024"
"45","KIR3DL2","NK_cell","5.43969356515861"
"46","KLRF1","NK_cell","5.48171174792239"
"47","KLRG1","T_cells","5.24499632674484"
"48","KRT86","NK_cell","5.45848138216442"
"49","LAPTM4B","HSC_CD34+","5.17648185909415"
"50","LEF1","T_cells","5.50064074043871"
"51","LILRA1","Monocyte","6.47910399488115"
"52","LILRA2","Monocyte","6.3212711957186"
"53","LILRA5","Monocyte","5.48500479902989"
"54","LILRB2","Monocyte","8.09202688464199"
"55","LINC00926","B_cell","5.22378320715155"
"56","LRRN3","T_cells","7.57763706865188"
"57","LST1","Monocyte","5.60787866828704"
"58","MAL","T_cells","7.69431976654892"
"59","MECOM","HSC_CD34+","5.15335502496385"
"60","MS4A1","B_cell","7.92771895193676"
"61","MS4A7","Monocyte","6.59287279008707"
"62","MSR1","Monocyte","6.64437454604012"
"63","NELL2","T_cells","6.41142764856867"
"64","NPR3","HSC_CD34+","5.14324290416868"
"65","OXNAD1","T_cells","5.25006458499618"
"66","P2RX5","B_cell","5.86259857737301"
"67","PAPSS2","Monocyte","5.10246704135149"
"68","PILRA","Monocyte","7.65893807671074"
"69","PKHD1L1","B_cell","6.03182589298497"
"70","PLEKHG1","B_cell","5.83167528192688"
"71","PNOC","B_cell","7.48983252276663"
"72","PROM1","HSC_CD34+","6.67101417635426"
"73","PRR5L","NK_cell","5.24152789045604"
"74","RALGPS2","B_cell","5.22855515907489"
"75","RNF157","T_cells","5.37609758139825"
"76","S1PR5","NK_cell","5.06238502223985"
"77","SERPINA1","Monocyte","6.36447442838917"
"78","SH2D1B","NK_cell","7.356306197611"
"79","SIRPG","T_cells","5.53827973101414"
"80","SLC31A2","Monocyte","5.43156735214286"
"81","SLC7A7","Monocyte","5.88876847618243"
"82","SLFN13","NK_cell","5.21018181842561"
"83","SMPDL3A","Monocyte","5.00727016238764"
"84","SPI1","Monocyte","5.33799263296621"
"85","SPIB","B_cell","6.16068023448669"
"86","STAP1","B_cell","5.78705326594566"
"87","TBC1D8","Monocyte","5.63473356856915"
"88","TBXAS1","Monocyte","5.14533459657137"
"89","TC2N","T_cells","5.00251839043005"
"90","TCF7","T_cells","5.96120672696533"
"91","THEMIS","T_cells","6.8896323794737"
"92","TLR10","B_cell","7.10960419503147"
"93","TRABD2A","T_cells","5.44793038947537"
"94","TRAC","T_cells","5.02565773008943"
"95","TRAT1","T_cells","7.18964806142502"
"96","UBASH3A","T_cells","5.3059950899954"
"97","VMO1","Monocyte","7.07263330416709"
"98","XCL1","NK_cell","6.65024574583929"
"99","YES1","NK_cell","5.16853042291831"
"100","ZNF521","HSC_CD34+","5.53924940919899"
